Skill Name,,Score/SP,Base Cost,Distance/Run Style,Why?
[Run Style] Corners ◯,◎,3.85,130,[Run Style],"Cheap and consistent, they are must-haves"
[Run Style] Straightaways ◯,◎,3.85,130,[Run Style],"Cheap and consistent, they are must-haves"
[Distance] Corners ◯,◎,5.00,100,[Distance],"Cheap and consistent, they are must-haves"
[Distance] Straightaways ◯,◎,5.00,100,[Distance],"Cheap and consistent, they are must-haves"
Uma Stan,◎,3.13,160,/,"Best speed skill on longer tracks for non-Front-Runners, can help to release PDM on some longer tracks"
Super Stan,◎,3.75,160+160,/,"Best speed skill on longer tracks for non-Front-Runners, can help to release PDM on some longer tracks"
Tail Held High,◎,5.00,100,/,"Cheap and consistent, though note the condition of requiring 3 skill activations before acquiring it"
Slipstream,◎,3.13,160,/,Consistent and facilitates overtaking when activated
Playtime's Over!,◎,3.13,160,/,Consistent and improves Uma's capacity to maintain her placement
Burning Spirit GUTS,◎,3.00,200+200,/,"Good random Late-Race accel but in the game's current state,
this skill's effect is likely 80% (when Total Guts ≤ 1200) or 90% (when 1200 < Total Guts ≤ 1600)"
Fast-Paced,◎,2.78,180,Front Runner,Consistent with easy conditions. Helps Front Runners maintain/regain their lead during the Mid-Race
Escape Artist,◎,3.33,180+180,Front Runner,Consistent with easy conditions. Helps Front Runners maintain/regain their lead during the Mid-Race
"1,500,000 CC",◎,4.17,120,Late Surger,Cheap and consistent
"15,000,000 CC",◎,5.00,120+120,Late Surger,Cheap and consistent
Mile Maven,◎,3.75,160+160,Mile,"Mostly consistent but activation occurs during Early-Race where Uma may not have hit top speed, making target speed boosts obsolete (doesn't actually increase speed
since Uma's Current Speed hasn't reached Target Speed). Additionally, the skill may pick a point prior to the 5 seconds needed after the race starts to activate, making it proc inconsistently too"
Unyielding Spirit,◎,4.17,120,Mile,Cheap and consistent
Big-Sisterly,◎,5.00,120+120,Mile,Cheap and consistent
Corner Recovery ◯,◎,2.94,170,/,Consistent and effective recovery
Swinging Maestro,◎,3.53,170+170,/,Consistent and effective recovery
Preferred Position,◎,2.78,180,Pace Chaser,Consistent and effective recovery
Race Planner,◎,3.33,180+180,Pace Chaser,Consistent and effective recovery
Hydrate,◎,2.78,180,Pace Chaser,Consistent and effective recovery
Gourmand,◎,3.33,180+180,Pace Chaser,Consistent and effective recovery
Ignited Spirit PWR,◎,2.50,200,/,It's like a weaker but universal Slick Surge/On Your Left!
Burning Spirit PWR,◎,3.00,200+200,/,It's like a weaker but universal Slick Surge/On Your Left!
Early Lead,◎,4.17,120,Front Runner,Necessary skill for all Front Runners
Taking the Lead,◎,5.00,120+120,Front Runner,Necessary skill for all Front Runners
Focus,◎,3.57,140,/,"Only take for Front Runners, Focus reduces the chance of a Late Start, while Concentration makes it impossible
You also get score for ""strong starts"" in Team Trials, so Concentration is always good there"
Concentration,◎,4.29,140+140,/,"Only take for Front Runners, Focus reduces the chance of a Late Start, while Concentration makes it impossible
You also get score for ""strong starts"" in Team Trials, so Concentration is always good there"
Hesitant [Run Style]s,◎,3.85,130,/,Random Point in Late-Race
Subdued [Run Style]s,◎,3.85,130,/,"Random Point in Early-Race, ≥5 after Race Start"
Flustered [Run Style]s,◎,3.85,130,/,Random Point in Mid-Race
Trick (Front),◎,,140,/,"First Half of the Pack, ≥1 ""Rushed"" Uma behind"
Tantalizing Trick,◎,4.29,140+140,/,"First Half of the Pack, ≥1 ""Rushed"" Uma behind"
Trick (Rear),◎,3.57,140,/,"2nd-9th/12th Place, ≥1 ""Rushed"" Uma ahead"
Sharp Gaze,◎,2.78,180,Late Surger,"Last Half of the Pack, at Random Point during Late-Race"
All-Seeing Eyes,◎,3.33,180+180,Late Surger,"Last Half of the Pack, at Random Point during Late-Race"
Tether,◎,3.13,160,Medium,"Last Half of the Pack, at Random Point during Late-Race"
Dominator,◎,3.75,160+160,Medium,"Last Half of the Pack, at Random Point during Late-Race"
Murmur,◎,3.13,160,Medium,"Blocked in Front for ≥1s, during Mid-Race"
Mystifying Murmur,◎,3.75,160+160,Medium,"Blocked in Front for ≥1s, during Mid-Race"
Stamina Siphon,◎,3.75,160+160,Long,"≥5th Place, at Random Point in Mid-Race"
Lone Wolf,◎,7.14,70,/,"Easy to proc, you either benefit (you proc) or make it even (you prevent someone else's from proc'ing)"
[Run Style] Savvy ◯,◎,4.55,110,[Run Style],"Consistent activation, FoV buff is useful for Nice Nature's All-Seeing Eyes"
Professor of Curvature,◯,3.33,180+180,/,"Consistent, but expensive
Rare ver. has greater speed boost making it more worth to acquire"
Beeline Burst,◯,3.53,170+170,/,Consistent
It's On!,◯,3.53,170+170,/,"Consistent. Even better when used in tandem with Tail Held High, Slipstream, and Playtime's Over!"
In Body and Mind,◯,3.53,170+170,/,"Useful and (fairly) consistent Last Spurt speed boost, falls short of ◎ because it could activate at the very end of a race"
Ignited Spirit GUTS,◯,2.50,200,/,"Good random Late-Race accel but in the game's current state,
this skill's effect is likely 80% (when Total Guts ≤ 1200) or 90% (when 1200 < Total Guts ≤ 1600)"
Position Pilfer,◯,2.78,180,Late Surger,Consistent
Fast & Furious,◯,3.33,180+180,Late Surger,Consistent
Outer Swell,◯,2.78,180,Late Surger,"Somewhat consistent but Target Speed boost during Final Corners are only useful if Uma will enter Last Spurt Mode in a few seconds/has already entered Last Spurt Mode.
Otherwise, boosting Target Speed right when Uma enters Last Spurt Mode renders it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
"Rising Dragon ",◯,3.33,180+180,Late Surger,"Somewhat consistent but Target Speed boost during Final Corners are only useful if Uma will enter Last Spurt Mode in a few seconds/has already entered Last Spurt Mode.
Otherwise, boosting Target Speed right when Uma enters Last Spurt Mode renders it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
Productive Plan,◯,3.13,160,Mile,"Mostly consistent but activation occurs during Early-Race where Uma may not have hit top speed, making target speed boosts obsolete (doesn't actually increase speed
since Uma's Current Speed hasn't reached Target Speed). Additionally, the skill may pick a point prior to the 5 seconds needed after the race starts to activate, making it proc inconsistently too"
Shifting Gears,◯,3.13,160,Mile,Consistent
Changing Gears,◯,3.75,160+160,Mile,Consistent
Up-Tempo,◯,3.13,160,Medium,Consistent
Killer Tunes,◯,3.75,160+160,Medium,Consistent
Nimble Navigator,◯,3.33,150,/,Strong accel but rng-dependent
No Stopping Me!,◯,4.00,150+150,/,Strong accel but rng-dependent
Head-On,◯,2.78,180,Pace Chaser,Pace Chaser ver. of Slick Surge
Slick Surge,◯,2.78,180,Late Surger,Good but inconsistently effective accel
On Your Left!,◯,3.33,180+180,Late Surger,Good but inconsistently effective accel
Updrafters,◯,3.13,160,Mile,Good but inconsistently effective accel for Lates/Ends in Mile
Furious Feat,◯,3.75,160+160,Mile,Good but inconsistently effective accel for Lates/Ends in Mile
Frenzied [Run Style]s,◯,3.85,130,/,"[Run Style] is ""Rushed"""
Stamina Eater,◯,3.13,160,Long,"≥5th Place, at Random Point in Mid-Race"
[Rotation]-Handed ◯,◯,5.56,90,/,Speed stat increase is significant
[Season] Runner ◯,◯,5.56,90,/,Speed stat increase is significant
Standard Distance ◯,◯,5.56,90,/,Stamina stat increase is good but not completely necessary unless you're short of stamina
Non-Standard Distance ◯,◯,5.56,90,/,Stamina stat increase is good but not completely necessary unless you're short of stamina
"Gap Closer ",▲,3.13,160,Sprint,Decent for Sprint Late Surgers/End Closers (only King Halo for now)
Blinding Flash,▲,3.75,160+160,Sprint,Decent for Sprint Late Surgers/End Closers (only King Halo for now)
Wait-and-See,▲,3.13,160,Sprint,"Only for Late Surgers/End Closers (only King Halo for now), the extra acceleration effect is useless"
Watchful Eye,▲,3.13,160,Mile,"Most effective Mile debuff skill, must-have for all Mile debuffers"
Keen Eye,▲,3.75,160+160,Mile,"Most effective Mile debuff skill, must-have for all Mile debuffers"
Red Shift/LP1211-M,▲,2.50,200,/,"Powerful accel for Fronts/Paces, especially on tracks where Last Spurt Mode begins slightly before or on the Final Corner"
Shooting for Victory!,▲,2.50,200,/,"Powerful accel for Paces/Lates, especially on tracks where Last Spurt Mode begins slightly before or on the Second Half of the Final Corner"
Let's Pump Some Iron!,▲,2.50,200,/,Strongest but most inconsistent accel for Lates/Ends on tracks where Last Spurt Mode begins slightly before or on the Final Corner
Angling and Scheming,▲,2.50,200,/,Strongest accel for Fronts on tracks where Last Spurt Mode begins on a Corner
Condor's Fury,▲,2.50,200,/,"Powerful accel for Lates/Ends, especially on tracks where Last Spurt Mode begins slightly before or on the Final Corner"
Runaway,▲,6.00,200,Front Runner,Dependent on what you want/need
[Run Style] Corners ◎,△,1.85,130+140,[Run Style],"Cheap and consistent, they are must-haves"
[Run Style] Straightaways ◎,△,1.85,130+140,[Run Style],"Cheap and consistent, they are must-haves"
[Distance] Corners ◎,△,2.38,100+110,[Distance],"Cheap and consistent, they are must-haves"
[Distance] Straightaways ◎,△,2.38,100+110,[Distance],"Cheap and consistent, they are must-haves"
Corner Adept ◯,△,2.78,180,/,"Consistent, but expensive
Rare ver. has greater speed boost making it more worth to acquire"
Straightaway Adept,△,2.94,170,/,Consistent
Ramp Up,△,2.94,170,/,"Consistent. Even better when used in tandem with Tail Held High, Slipstream, and Playtime's Over!"
Homestretch Haste,△,2.94,170,/,"Useful and (fairly) consistent Last Spurt speed boost, falls short of ◎ because it could activate at the very end of a race"
Ignited Spirit SPD,△,2.50,200,/,1.8s isn't very long and it costs 200 base SP
Burning Spirit SPD,△,3.00,200+200,/,1.8s isn't very long and it costs 200 base SP
Leader's Pride,△,2.78,180,Front Runner,"Inconsistent activation during Early-Race where overtaking doesn't happen frequently or consistently, consistency is directly proportional to track distance"
Prepared to Pass,△,2.78,180,Pace Chaser,"Consistent but Target Speed boost during Final Corners are only useful if Uma will enter Last Spurt Mode in a few seconds/has already entered Last Spurt Mode.
Otherwise, boosting Target Speed right when Uma enters Last Spurt Mode renders it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
Speed Star,△,3.33,180+180,Pace Chaser,"Consistent but Target Speed boost during Final Corners are only useful if Uma will enter Last Spurt Mode in a few seconds/has already entered Last Spurt Mode.
Otherwise, boosting Target Speed right when Uma enters Last Spurt Mode renders it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
Early Start,△,2.78,180,End Closer,"Very small speed boost, but it can unlock Pace-down Mode for a good amount of time so it isn't totally useless"
Steadfast,△,3.13,160,Medium,"Essentially a band-aid protective measure against losing the lead on the Final Corner, could be good but it's very situational"
Unyielding,△,3.75,160+160,Medium,"Essentially a band-aid protective measure against losing the lead on the Final Corner, could be good but it's very situational"
All I've Got,△,3.13,160,Medium,"Other than a few 2400m tracks, most Medium tracks have their Last Spurt Modes activate on a Corner, so this skill acts as a better Homestretch Haste/In Body and Mind"
Come What May,△,3.75,160+160,Medium,"Other than a few 2400m tracks, most Medium tracks have their Last Spurt Modes activate on a Corner, so this skill acts as a better Homestretch Haste/In Body and Mind"
Inside Scoop,△,3.13,160,Long,"Somewhat consistent but Target Speed boost during Final Corners are only useful if Uma will enter Last Spurt Mode in a few seconds/has already entered Last Spurt Mode.
Otherwise, boosting Target Speed right when Uma enters Last Spurt Mode renders it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
Innate Experience,△,3.75,160+160,Long,"Somewhat consistent but Target Speed boost during Final Corners are only useful if Uma will enter Last Spurt Mode in a few seconds/has already entered Last Spurt Mode.
Otherwise, boosting Target Speed right when Uma enters Last Spurt Mode renders it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
Keeping the Lead,△,3.13,160,Long,2.5m lead is somewhat possible in a Long race but still not the most consistent
"Vanguard Spirit ",△,3.75,160+160,Long,2.5m lead is somewhat possible in a Long race but still not the most consistent
Pressure,△,3.13,160,Long,"Overtakes and consequently, Target Speed boost is likely to occur toward the beginning of Last Spurt Mode,
rendering it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
"Overwhelming Pressure ",△,3.75,160+160,Long,"Overtakes and consequently, Target Speed boost is likely to occur toward the beginning of Last Spurt Mode,
rendering it useless (doesn't actually increase speed since Uma's Current Speed hasn't reached Target Speed)"
Top Pick,△,2.78,180,Dirt,Should have a consistent activation and is helpful for maintaining/securing/fighting for the lead
Trending in the Charts!,△,3.33,180+180,Dirt,Should have a consistent activation and is helpful for maintaining/securing/fighting for the lead
Certain Victory,△,2.50,200,/,Identical to OG Teio's unique with slightly looser conditions
Legacy of the Strong,△,2.50,200,/,Effects aren't bad but inconsistent activation
Shooting Star,△,2.50,200,/,"Consistent activation, but weak effect"
The View from the Lead is Mine!,△,2.50,200,/,"Somewhat consistent activation for Front Runners, but weak effect"
Sky-High Teio Step,△,2.50,200,/,"Mostly consistent for non-Front-Runners, with strong effect"
Triumphant Pulse,△,2.50,200,/,"Consistent for non-Front-Runners, with strong effect"
Anchors Aweigh!,△,2.50,200,/,Consistent for Late Surgers/End Closers but minimal effect
Resplendent Red Ace,△,2.50,200,/,Accel can come in handy occasionally but still very situational and slightly unreliable
"Where There's a Will, There's a Way",△,2.50,200,/,Decent speed skill option for non-Front-Runners
The Duty of Dignity Calls,△,2.50,200,/,"Final Corner Target Speed boost is inconsistent (especially in Med race), but it can be situationally good for Front Runners/Pace Chasers"
Victoria por plancha ☆,△,2.50,200,/,"Activation is mostly consistent, some tracks benefit from a Last Straight accel"
This Dance Is for Vittoria!,△,2.50,200,/,Fairly consistent activation but Final Corner Target Speed boost could be inconsistent
Behold Thine Emperor's Divine Might,△,2.50,200,/,"Consistent for non-Front-Runners, with strong effect"
Blazing Pride,△,2.50,200,/,"Final Corner Target Speed boost is inconsistent (especially in Med race), but it can be situationally good for Late Surgers"
∴win Q.E.D.,△,2.50,200,/,"Final Corner Target Speed boost is inconsistent (especially in Med race), but it can be situationally good for Front Runners"
Flashy☆Landing,△,2.50,200,/,"Acceleration on and beyond Final Corner is decent, conditions to activate may not be consistent unless you're Front Runner or Pace Chaser"
Blue Rose Closer,△,2.50,200,/,"Consistent, but weak effect"
Our Ticket to Win!,△,2.50,200,/,"Side block on Last Straight is rare, weak effect as well makes it not worth getting"
Just a Little Farther!,△,2.50,200,/,"Fairly consistent, but also weak"
#LookatCurren,△,2.50,200,/,Slightly consistent but effect is really weak since it usually activates at Mid-Race
Nemesis,△,2.50,200,/,Consistent for Late Surgers/End Closers but effect is weak
SPARKLY☆STARDOM,△,2.50,200,/,Mostly consistent for most Front Runners and helps them maintain their lead
Shadow Break,△,2.50,200,/,Should be consistent but effect isn't great enough to be used over other similar uniques
Eternal Moments,△,2.50,200,/,"Fairly consistent for non-Front-Runners, but the effect is weak"
Flowery☆Maneuver,△,2.50,200,/,"① Strong for Front/Pace on some tracks to carry over speed on final corner
② Strong for Late/End on tracks that start the Last Spurt on final corner"
"You and Me! One-on-One! ",△,2.50,200,/,Decent Last Straight speed skill for Late Surgers or End Closers
Lights of Vaudeville,△,2.50,200,/,Consistent activation but effectiveness depends on track
A Kiss for Courage,△,2.50,200,/,Varying effectiveness depending on track but can be strong with Triple 7s activation
"I Never Goof Up! ",△,2.50,200,/,Good effect but rng and track dependent
Bountiful Harvest,△,2.50,200,/,Consistent but relatively weak
YUMMY☆SPEED!,△,2.50,200,/,Unfortunate timing at 60% of the Race makes this skill's acceleration practically useless
OMG! (ﾟ∀ﾟ) The Final Sprint! ☆,△,2.50,200,/,"Generally, when you overtake in Late-Race, you're still accelerating, so a Target Speed skill wouldn't be effective "
Give Mummy a Hug ♡,△,2.50,200,/,Good accel for tracks that have their Last Spurt Mode begin on/near a Last Straight
Chasing After You,△,2.50,200,/,Very weak effect but can be used as a debuff
"Arrows Whistle, Shadows Disperse",△,2.50,200,/,"Consistent, but weak effect"
Pop & Polish,△,2.50,200,/,"Consistent, but weak effect"
Presents from X,△,2.50,200,/,"Consistent, but weak effect"
Festive Miracle,△,2.50,200,/,Strong on some tracks where Triple 7s can proc before the Last Spurt
